iter	Passed	Remaining
0	172	51621
1	253	37730
2	331	32773
3	444	32873
4	545	32209
5	632	30971
6	693	29014
7	800	29230
8	904	29243
9	1030	29877
10	1132	29763
11	1240	29779
12	1294	28582
13	1346	27514
14	1395	26522
15	1457	25864
16	1505	25069
17	1567	24563
18	1621	23988
19	1668	23352020	1719	228421	1816	22947
22	1934	23292
23	2090	24039
24	2203	24236
25	2295	24190
26	2368	23947
27	2434	23645
28	2499	23358
29	2565	23086
30	2628	22805
31	2683	22472
32	2723	22037
33	2781	21757
34	2838	21493
35	2884	21151
36	2943	20920
37	2997	20666
38	3054	20440
39	3106	20189
40	3164	19988
41	3223	19802
42	3293	19681
43	3368	19597
44	3424	19406
45	3475	19188
46	3535	19033
47	3587	18836
48	3625	18573
49	3667	18335
50	3751	18314
51	3810	18173
52	3864	18009
53	3929	17901
54	3993	17790
55	4067	17721
56	4162	17746
57	4267	17803
58	4360	17812
59	4463	17853
60	4564	17882
61	4624	17753
62	4675	17590
63	4714	17384
64	4754	17188
65	4809	17052
66	4849	16864
67	4897	16707
68	4931	16509
69	4969	16328
70	5005	16144
71	5053	16002
72	5099	15858
73	5146	15718
74	5191	15575
75	5242	15450
76	5287	15313
77	5335	15185
78	5380	15051
79	5414	14889
80	5449	14734
81	5497	14614
82	5532	14463
83	5578	14343
84	5614	14201
85	5664	14095
86	5717	13998
87	5760	13878
88	5810	13776
89	5879	13717
90	5938	13638
91	6019	13609
92	6097	13570
93	6150	13479
94	6193	13364
95	6229	13237
96	6279	13141
97	6324	13035
98	6369	12931
99	6399	12799
100	6431	12672
101	6475	12570
102	6522	12474
103	6559	12362
104	6598	12255
105	6637	12148
106	6687	12061
107	6729	11963
108	6782	11884
109	6815	11772
110	6842	11650
111	6871	11534
112	6912	11439
113	6970	11372
114	7008	11274
115	7049	11181
116	7077	11069
117	7113	10971
118	7157	10887
119	7200	10800
120	7235	10703
121	7278	10619
122	7320	10535
123	7353	10436
124	7401	10361
125	7437	10271
126	7484	10195
127	7530	10118
128	7576	10043
129	7626	9972
130	7653	9873
131	7684	9780
132	7728	9704
133	7798	9660
134	7864	9612
135	7898	9524
136	7929	9434
137	7984	9373
138	8031	9302
139	8058	9210
140	8080	9112
141	8103	9016
142	8125	8921
143	8150	8829
144	8195	8760
145	8244	8696
146	8279	8617
147	8309	8534
148	8346	8458
149	8379	8379
150	8408	8297
151	8446	8223
152	8481	8149
153	8529	8086
154	8573	8020
155	8619	7956
156	8669	7896
157	8707	7826
158	8733	7744
159	8751	7657
160	8771	7572
161	8792	7489
162	8812	7407
163	8834	7326
164	8854	7244
165	8876	7165
166	8897	7085
167	8921	7009
168	8947	6935
169	8975	6863
170	9005	6793
171	9037	6725
172	9058	6649
173	9077	6573
174	9098	6498
175	9117	6423
176	9135	6348
177	9154	6274
178	9173	6200
179	9192	6128
180	9210	6055
181	9230	5984
182	9251	5915
183	9272	5846
184	9294	5777
185	9311	5707
186	9331	5638
187	9350	5570
188	9371	5504
189	9394	5438
190	9413	5372
191	9433	5306
192	9454	5241
193	9477	5178
194	9498	5114
195	9517	5050
196	9537	4986
197	9556	4922
198	9574	4859
199	9592	4796
200	9610	4733
201	9629	4671
202	9647	4609
203	9664	4548
204	9682	4486
205	9701	4427
206	9724	4369
207	9748	4311
208	9775	4256
209	9804	4201
210	9830	4146
211	9858	4092
212	9897	4042
213	9919	3986
214	9938	3929
215	9957	3872
216	9977	3816
217	9995	3759
218	10019	3706
219	10036	3649
220	10067	3598
221	10083	3542
222	10100	3487
223	10120	3433
224	10147	3382
225	10166	3329
226	10206	3282
227	10224	3228
228	1024229	102229	1025230	102230	1027231	102231	1029232	102232	1031233	102233	10330	2913
234	10348	2862
235	1036236	103236	1038237	103237	1039238	103238	1041239	103239	1042240	104240	1044241	104241	1045242	104242	1047243	104243	1048244	104244	1050245	10484	2301
246	10501	2253
247	105247	1054248	105248	1056249	10546	2109
250	10568	2063
251	10587	2016
252	106252	1063253	106253	1065254	106254	1067255	106255	1068256	106256	1070257	106257	1072258	106258	1074259	107259	1075260	107260	1077261	107261	1078262	107262	1080263	10787	1471
264	10804	1426
265	10823	1383
266	10837	1339
267	10855	1296
268	10878	1253
269	10891	1210
270	10916	1168
271	10937	1125
272	10961	1084
273	10980	1041
274	10993	999
275	11014	957
276	11027	915
277	11042	873
278	11054	832
279	11072	790
280	11089	749
281	11106	708
282	11121	668
283	11138	627
284	11158	587
285	11175	547
286	11188	506
287	11207	466
288	11223	427
289	11243	387
290	11264	348
291	11282	309
292	11308	270
293	11334	231
294	11352	192
295	11372	153
296	11390	115
297	11406	76
298	11425	38
299	11440	0
1400	0
